Job_Role,Skill,Question,Options,Answer,Difficulty_Level,Candidate_Skill_Level,Response_Time,Correctness,Trust_Score
Mobile Developer,Android,Which language is primarily used for Android apps?,Java;Kotlin;Swift;C#,Kotlin,1,1,13.98,0,73
Mobile Developer,Android,Which layout is best for complex UI positioning?,LinearLayout;RelativeLayout;ConstraintLayout;FrameLayout,ConstraintLayout,2,3,15.78,0,89
Mobile Developer,Android,Which lifecycle method is called when app is about to become visible?,onCreate;onStart;onResume;onPause,onStart,3,2,7.81,0,71
Mobile Developer,iOS,Which language is used for iOS apps?,Java;Kotlin;Swift;C#,Swift,1,5,17.33,1,90
Mobile Developer,iOS,Which component displays multiple items in a scrollable view?,UICollectionView;UITableView;ListView;ScrollView,UICollectionView,2,1,7.71,0,71
Mobile Developer,iOS,Which design pattern is most common in iOS apps?,MVC;MVP;MVVM;VIPER,MVC,3,3,11.95,0,80
DevOps Engineer,CI/CD,Which tool is used for CI/CD pipelines?,Jenkins;Docker;Kubernetes;Git,Jenkins,2,4,6.62,0,81
DevOps Engineer,Containers,Which tool is used for containerization?,Docker;Kubernetes;Terraform;Ansible,Docker,1,1,5.13,0,98
DevOps Engineer,Kubernetes,Command to list running pods?,kubectl list;kubectl get pods;kubectl show pods;kubectl ps,kubectl get pods,2,5,17.88,0,81
DevOps Engineer,Monitoring,Which tool monitors server performance?,Nagios;Jenkins;Git;Docker,Nagios,2,4,8.13,1,100
DevOps Engineer,Configuration,Which tool is used for configuration management?,Ansible;Docker;Git;Terraform,Ansible,3,2,9.53,0,76
Cloud Engineer,AWS,Which AWS service is used for object storage?,S3;EC2;Lambda;RDS,S3,1,3,17.66,1,76
Cloud Engineer,GCP,Which GCP service is serverless compute?,App Engine;Compute Engine;Cloud Functions;Kubernetes Engine,Cloud Functions,2,4,5.81,1,97
Cloud Engineer,Azure,Which Azure service stores blobs?,Blob Storage;SQL Database;App Service;Function App,Blob Storage,1,1,18.71,0,75
Cloud Engineer,Networking,Which service provides load balancing in cloud?,ELB;Route53;VPC;CloudFront,ELB,2,3,10.23,0,85
Cloud Engineer,Security,Which service manages identity and access?,IAM;VPC;Security Group;KMS,IAM,3,5,8.01,0,91
AI/ML Engineer,Python,Which library is used for machine learning?,TensorFlow;NumPy;Matplotlib;Pandas,TensorFlow,2,2,12.73,0,95
AI/ML Engineer,ML Algorithms,Which algorithm is used for classification?,Linear Regression;K-Means;Decision Tree;PCA,Decision Tree,2,2,9.35,1,100
AI/ML Engineer,Deep Learning,Which is used for image recognition?,CNN;RNN;SVM;KNN,CNN,3,1,18.47,0,76
AI/ML Engineer,Evaluation,Which metric is used for regression?,Accuracy;Precision;MSE;Recall,MSE,3,1,17.98,0,92
AI/ML Engineer,Data Processing,Which technique reduces overfitting?,Regularization;Normalization;Dropout;Scaling,Regularization,4,4,11.11,0,94
Frontend Developer,HTML,Which tag is used for hyperlinks?,<div>;<a>;<link>;<href>,<a>,1,1,19.66,0,76
Frontend Developer,HTML,Correct element for line break?,<break>;<lb>;<br>;<hr>,<br>,1,2,10.21,0,86
Frontend Developer,CSS,Property to change text color?,color;background-color;font-size;font-weight,color,1,4,7.49,1,88
Frontend Developer,CSS,Property to change background color?,color;background-color;font-size;font-weight,background-color,2,2,17.73,0,91
Frontend Developer,JavaScript,Method to convert JSON string to object?,JSON.parse;JSON.stringify;JSON.convert;JSON.object,JSON.parse,2,4,10.43,1,75
Frontend Developer,JavaScript,Function to delay execution?,setTimeout;delay;wait;timeout,setTimeout,3,3,7.91,0,86
Backend Developer,Python,Which framework is used for backend?,Django;Flask;React;Angular,Django,2,3,12.59,0,88
Backend Developer,SQL,Which command retrieves data?,SELECT;INSERT;UPDATE;DELETE,SELECT,1,2,9.45,1,88
Backend Developer,API,Which HTTP method creates a resource?,GET;POST;PUT;DELETE,POST,2,2,10.31,0,74
Backend Developer,Security,Which method hashes passwords?,SHA256;MD5;AES;RSA,SHA256,3,3,8.67,0,82
Backend Developer,Server,Which server handles Python apps?,Nginx;Apache;Gunicorn;Tomcat,Gunicorn,2,5,15.96,1,97
